Año;Concepto;Tipo territorio;Código territorio;Territorio;Valor;Unidad;Estado dato
1996;Hombres diputados del Partido Popular (PP) en el Congreso de los Diputados;Otros;;;15;Número;
1996;Mujeres diputadas  del Partido Popular (PP) en el Congreso de los Diputados;Otros;;;2;Número;
1996;Diputados del Partido Socialista Obrero Español (PSOE) en el Congreso de los Diputados;Otros;;;11;Número;
1996;Hombres diputados del Partido Socialista Obrero Español (PSOE) en el Congreso de los Diputados;Otros;;;8;Número;
1996;Mujeres diputadas del Partido Socialista Obrero Español (PSOE) en el Congreso de los Diputados;Otros;;;3;Número;
1996;Diputados de Izquierda Unida (IU) en el Congreso de los Diputados;Otros;;;6;Número;
1996;Hombres diputados de Izquierda Unida (IU) en el Congreso de los Diputados;Otros;;;3;Número;
1996;Hombres diputados del resto de los partidos políticos en el Congreso de los Diputados;Otros;;;0;Número;
2000;Mujeres diputadas de Podemos en el Congreso de los Diputados;Otros;;;-;Número;
2000;Mujeres diputadas de Unión Progreso y Democracia (UPyD) en el Congreso de los Diputados;Otros;;;-;Número;
2000;Hombres diputados de Ciudadanos en el Congreso de los Diputados;Otros;;;-;Número;
2000;Mujeres diputadas de Ciudadanos en el Congreso de los Diputados;Otros;;;-;Número;
2000;Diputados de Podemos en el Congreso de los Diputados;Otros;;;-;Número;
2000;Hombres diputados de Podemos en el Congreso de los Diputados;Otros;;;-;Número;
2000;Mujeres diputadas de SUMAR en el Congreso de los Diputados;Otros;;;-;Número;
2000;Diputados de SUMAR en el Congreso de los Diputados;Otros;;;-;Número;
2000;Hombres diputados de SUMAR en el Congreso de los Diputados;Otros;;;-;Número;
2000;Diputados de MÁS PAÍS - EQUO en el Congreso de los Diputados;Otros;;;-;Número;
2000;Hombres diputados de MÁS PAÍS - EQUO en el Congreso de los Diputados;Otros;;;-;Número;
2000;Mujeres diputadas de MÁS PAÍS - EQUO en el Congreso de los Diputados;Otros;;;-;Número;
2000;Diputados de Vox en el Congreso de los Diputados;Otros;;;-;Número;
2000;Hombres diputados de Vox en el Congreso de los Diputados;Otros;;;-;Número;
2000;Mujeres diputadas de Vox en el Congreso de los Diputados;Otros;;;-;Número;
2000;Total diputados en el Congreso de los Diputados;Otros;;;34;Número;
2000;Diputados del Partido Popular (PP) en el Congreso de los Diputados;Otros;;;19;Número;
2000;Hombres diputados del Partido Popular (PP) en el Congreso de los Diputados;Otros;;;12;Número;
2000;Mujeres diputadas  del Partido Popular (PP) en el Congreso de los Diputados;Otros;;;7;Número;
2000;Diputados del Partido Socialista Obrero Español (PSOE) en el Congreso de los Diputados;Otros;;;12;Número;
2000;Hombres diputados del Partido Socialista Obrero Español (PSOE) en el Congreso de los Diputados;Otros;;;7;Número;
2000;Mujeres diputadas del Partido Socialista Obrero Español (PSOE) en el Congreso de los Diputados;Otros;;;5;Número;
2000;Diputados de Izquierda Unida (IU) en el Congreso de los Diputados;Otros;;;3;Número;
2000;Hombres diputados de Izquierda Unida (IU) en el Congreso de los Diputados;Otros;;;2;Número;
2000;Mujeres diputadas de Izquierda Unida (IU) en el Congreso de los Diputados;Otros;;;1;Número;
2000;Diputados del resto de los partidos en el Congreso de los Diputados;Otros;;;0;Número;
2000;Hombres diputados del resto de los partidos políticos en el Congreso de los Diputados;Otros;;;0;Número;
2000;Mujeres diputadas del resto de los partidos políticos en el Congreso de los Diputados;Otros;;;0;Número;
2000;Diputados de Unión Progreso y Democracia en el Congreso de los Diputados;Otros;;;-;Número;
2000;Hombres diputados de Unión Progreso y Democracia (UPyD) en el Congreso de los Diputados;Otros;;;-;Número;
2000;Diputados de Ciudadanos en el Congreso de los Diputados;Otros;;;-;Número;
2004;Mujeres diputadas de Unión Progreso y Democracia (UPyD) en el Congreso de los Diputados;Otros;;;-;Número;
2004;Mujeres diputadas de Podemos en el Congreso de los Diputados;Otros;;;-;Número;
2004;Diputados de Ciudadanos en el Congreso de los Diputados;Otros;;;-;Número;
2004;Hombres diputados de Ciudadanos en el Congreso de los Diputados;Otros;;;-;Número;
2004;Mujeres diputadas de Ciudadanos en el Congreso de los Diputados;Otros;;;-;Número;
2004;Diputados de Podemos en el Congreso de los Diputados;Otros;;;-;Número;
2004;Hombres diputados de Podemos en el Congreso de los Diputados;Otros;;;-;Número;
2004;Mujeres diputadas de SUMAR en el Congreso de los Diputados;Otros;;;-;Número;
2004;Diputados de SUMAR en el Congreso de los Diputados;Otros;;;-;Número;
2004;Hombres diputados de SUMAR en el Congreso de los Diputados;Otros;;;-;Número;
2004;Diputados de MÁS PAÍS - EQUO en el Congreso de los Diputados;Otros;;;-;Número;
2004;Hombres diputados de MÁS PAÍS - EQUO en el Congreso de los Diputados;Otros;;;-;Número;
2004;Mujeres diputadas de MÁS PAÍS - EQUO en el Congreso de los Diputados;Otros;;;-;Número;
2004;Diputados de Vox en el Congreso de los Diputados;Otros;;;-;Número;
2004;Hombres diputados de Vox en el Congreso de los Diputados;Otros;;;-;Número;
2004;Mujeres diputadas de Vox en el Congreso de los Diputados;Otros;;;-;Número;
2004;Total diputados en el Congreso de los Diputados;Otros;;;35;Número;
2004;Diputados del Partido Popular (PP) en el Congreso de los Diputados;Otros;;;17;Número;
2004;Hombres diputados del Partido Popular (PP) en el Congreso de los Diputados;Otros;;;15;Número;
2004;Mujeres diputadas  del Partido Popular (PP) en el Congreso de los Diputados;Otros;;;2;Número;
2004;Diputados del Partido Socialista Obrero Español (PSOE) en el Congreso de los Diputados;Otros;;;16;Número;
2004;Hombres diputados del Partido Socialista Obrero Español (PSOE) en el Congreso de los Diputados;Otros;;;10;Número;
2004;Mujeres diputadas del Partido Socialista Obrero Español (PSOE) en el Congreso de los Diputados;Otros;;;6;Número;
2004;Diputados de Izquierda Unida (IU) en el Congreso de los Diputados;Otros;;;2;Número;
2004;Hombres diputados de Izquierda Unida (IU) en el Congreso de los Diputados;Otros;;;2;Número;
2004;Mujeres diputadas de Izquierda Unida (IU) en el Congreso de los Diputados;Otros;;;0;Número;
2004;Diputados del resto de los partidos en el Congreso de los Diputados;Otros;;;0;Número;
2004;Hombres diputados del resto de los partidos políticos en el Congreso de los Diputados;Otros;;;0;Número;
2004;Mujeres diputadas del resto de los partidos políticos en el Congreso de los Diputados;Otros;;;0;Número;
2004;Diputados de Unión Progreso y Democracia en el Congreso de los Diputados;Otros;;;-;Número;
2004;Hombres diputados de Unión Progreso y Democracia (UPyD) en el Congreso de los Diputados;Otros;;;-;Número;
2008;Mujeres diputadas de Unión Progreso y Democracia (UPyD) en el Congreso de los Diputados;Otros;;;1;Número;
2008;Hombres diputados de Unión Progreso y Democracia (UPyD) en el Congreso de los Diputados;Otros;;;0;Número;
2008;Diputados de Ciudadanos en el Congreso de los Diputados;Otros;;;-;Número;
2008;Hombres diputados de Ciudadanos en el Congreso de los Diputados;Otros;;;-;Número;
2008;Mujeres diputadas de Ciudadanos en el Congreso de los Diputados;Otros;;;-;Número;
2008;Diputados de Podemos en el Congreso de los Diputados;Otros;;;-;Número;
2008;Hombres diputados de Podemos en el Congreso de los Diputados;Otros;;;-;Número;
2008;Mujeres diputadas de SUMAR en el Congreso de los Diputados;Otros;;;-;Número;
2008;Diputados de SUMAR en el Congreso de los Diputados;Otros;;;-;Número;
2008;Hombres diputados de SUMAR en el Congreso de los Diputados;Otros;;;-;Número;
2008;Diputados de MÁS PAÍS - EQUO en el Congreso de los Diputados;Otros;;;-;Número;
2008;Hombres diputados de MÁS PAÍS - EQUO en el Congreso de los Diputados;Otros;;;-;Número;
2008;Mujeres diputadas de MÁS PAÍS - EQUO en el Congreso de los Diputados;Otros;;;-;Número;
2008;Diputados de Vox en el Congreso de los Diputados;Otros;;;-;Número;
2008;Hombres diputados de Vox en el Congreso de los Diputados;Otros;;;-;Número;
2008;Mujeres diputadas de Vox en el Congreso de los Diputados;Otros;;;-;Número;
2008;Total diputados en el Congreso de los Diputados;Otros;;;35;Número;
2008;Diputados del Partido Popular (PP) en el Congreso de los Diputados;Otros;;;18;Número;
2008;Hombres diputados del Partido Popular (PP) en el Congreso de los Diputados;Otros;;;12;Número;
2008;Mujeres diputadas  del Partido Popular (PP) en el Congreso de los Diputados;Otros;;;6;Número;
2008;Diputados del Partido Socialista Obrero Español (PSOE) en el Congreso de los Diputados;Otros;;;15;Número;
2008;Hombres diputados del Partido Socialista Obrero Español (PSOE) en el Congreso de los Diputados;Otros;;;9;Número;
2008;Mujeres diputadas del Partido Socialista Obrero Español (PSOE) en el Congreso de los Diputados;Otros;;;6;Número;
2008;Diputados de Izquierda Unida (IU) en el Congreso de los Diputados;Otros;;;1;Número;
2008;Hombres diputados de Izquierda Unida (IU) en el Congreso de los Diputados;Otros;;;1;Número;
2008;Mujeres diputadas de Izquierda Unida (IU) en el Congreso de los Diputados;Otros;;;0;Número;
2008;Diputados del resto de los partidos en el Congreso de los Diputados;Otros;;;0;Número;
2008;Hombres diputados del resto de los partidos políticos en el Congreso de los Diputados;Otros;;;0;Número;
2008;Mujeres diputadas del resto de los partidos políticos en el Congreso de los Diputados;Otros;;;0;Número;
2008;Diputados de Unión Progreso y Democracia en el Congreso de los Diputados;Otros;;;1;Número;
2008;Mujeres diputadas de Podemos en el Congreso de los Diputados;Otros;;;-;Número;
2011;Diputados de MÁS PAÍS - EQUO en el Congreso de los Diputados;Otros;;;-;Número;
2011;Hombres diputados de MÁS PAÍS - EQUO en el Congreso de los Diputados;Otros;;;-;Número;
2011;Mujeres diputadas de MÁS PAÍS - EQUO en el Congreso de los Diputados;Otros;;;-;Número;
2011;Diputados de Vox en el Congreso de los Diputados;Otros;;;-;Número;
2011;Hombres diputados de Vox en el Congreso de los Diputados;Otros;;;-;Número;
2011;Mujeres diputadas de Vox en el Congreso de los Diputados;Otros;;;-;Número;
2011;Total diputados en el Congreso de los Diputados;Otros;;;36;Número;
2011;Diputados del Partido Popular (PP) en el Congreso de los Diputados;Otros;;;19;Número;
2011;Hombres diputados del Partido Popular (PP) en el Congreso de los Diputados;Otros;;;11;Número;
2011;Mujeres diputadas  del Partido Popular (PP) en el Congreso de los Diputados;Otros;;;8;Número;
2011;Diputados del Partido Socialista Obrero Español (PSOE) en el Congreso de los Diputados;Otros;;;10;Número;
2011;Hombres diputados del Partido Socialista Obrero Español (PSOE) en el Congreso de los Diputados;Otros;;;6;Número;
2011;Mujeres diputadas del Partido Socialista Obrero Español (PSOE) en el Congreso de los Diputados;Otros;;;4;Número;
2011;Diputados de Izquierda Unida (IU) en el Congreso de los Diputados;Otros;;;3;Número;
2011;Hombres diputados de Izquierda Unida (IU) en el Congreso de los Diputados;Otros;;;1;Número;
2011;Mujeres diputadas de Izquierda Unida (IU) en el Congreso de los Diputados;Otros;;;2;Número;
2011;Diputados del resto de los partidos en el Congreso de los Diputados;Otros;;;0;Número;
2011;Hombres diputados del resto de los partidos políticos en el Congreso de los Diputados;Otros;;;0;Número;
2011;Mujeres diputadas del resto de los partidos políticos en el Congreso de los Diputados;Otros;;;0;Número;
2011;Diputados de Unión Progreso y Democracia en el Congreso de los Diputados;Otros;;;4;Número;
2011;Hombres diputados de Unión Progreso y Democracia (UPyD) en el Congreso de los Diputados;Otros;;;2;Número;
2011;Mujeres diputadas de Unión Progreso y Democracia (UPyD) en el Congreso de los Diputados;Otros;;;2;Número;
2011;Mujeres diputadas de Podemos en el Congreso de los Diputados;Otros;;;-;Número;
2011;Diputados de Ciudadanos en el Congreso de los Diputados;Otros;;;-;Número;
2011;Hombres diputados de Ciudadanos en el Congreso de los Diputados;Otros;;;-;Número;
2011;Mujeres diputadas de Ciudadanos en el Congreso de los Diputados;Otros;;;-;Número;
2011;Diputados de Podemos en el Congreso de los Diputados;Otros;;;-;Número;
2011;Hombres diputados de Podemos en el Congreso de los Diputados;Otros;;;-;Número;
2011;Mujeres diputadas de SUMAR en el Congreso de los Diputados;Otros;;;-;Número;
2011;Diputados de SUMAR en el Congreso de los Diputados;Otros;;;-;Número;
2011;Hombres diputados de SUMAR en el Congreso de los Diputados;Otros;;;-;Número;
2015;Mujeres diputadas de Podemos en el Congreso de los Diputados;Otros;;;4;Número;
2015;Mujeres diputadas de Unión Progreso y Democracia (UPyD) en el Congreso de los Diputados;Otros;;;-;Número;
2015;Hombres diputados de Ciudadanos en el Congreso de los Diputados;Otros;;;5;Número;
2015;Mujeres diputadas de Ciudadanos en el Congreso de los Diputados;Otros;;;2;Número;
2015;Diputados de Podemos en el Congreso de los Diputados;Otros;;;8;Número;
2015;Hombres diputados de Podemos en el Congreso de los Diputados;Otros;;;4;Número;
2015;Mujeres diputadas de SUMAR en el Congreso de los Diputados;Otros;;;-;Número;
2015;Diputados de SUMAR en el Congreso de los Diputados;Otros;;;-;Número;
2015;Hombres diputados de SUMAR en el Congreso de los Diputados;Otros;;;-;Número;
2015;Diputados de MÁS PAÍS - EQUO en el Congreso de los Diputados;Otros;;;-;Número;
2015;Hombres diputados de MÁS PAÍS - EQUO en el Congreso de los Diputados;Otros;;;-;Número;
2015;Mujeres diputadas de MÁS PAÍS - EQUO en el Congreso de los Diputados;Otros;;;-;Número;
2015;Diputados de Vox en el Congreso de los Diputados;Otros;;;-;Número;
2015;Hombres diputados de Vox en el Congreso de los Diputados;Otros;;;-;Número;
2015;Mujeres diputadas de Vox en el Congreso de los Diputados;Otros;;;-;Número;
2015;Total diputados en el Congreso de los Diputados;Otros;;;36;Número;
2015;Diputados del Partido Popular (PP) en el Congreso de los Diputados;Otros;;;13;Número;
2015;Hombres diputados del Partido Popular (PP) en el Congreso de los Diputados;Otros;;;8;Número;
2015;Mujeres diputadas  del Partido Popular (PP) en el Congreso de los Diputados;Otros;;;5;Número;
2015;Diputados del Partido Socialista Obrero Español (PSOE) en el Congreso de los Diputados;Otros;;;6;Número;
2015;Hombres diputados del Partido Socialista Obrero Español (PSOE) en el Congreso de los Diputados;Otros;;;3;Número;
2015;Mujeres diputadas del Partido Socialista Obrero Español (PSOE) en el Congreso de los Diputados;Otros;;;3;Número;
2015;Diputados de Izquierda Unida (IU) en el Congreso de los Diputados;Otros;;;2;Número;
2015;Hombres diputados de Izquierda Unida (IU) en el Congreso de los Diputados;Otros;;;1;Número;
2015;Mujeres diputadas de Izquierda Unida (IU) en el Congreso de los Diputados;Otros;;;1;Número;
2015;Diputados del resto de los partidos en el Congreso de los Diputados;Otros;;;0;Número;
